Timestamp,Rain Rate,Solar Radiation Sensor,Thermometer
2018-07-09 11:00:00,0.000000,557.8983,84.40169
2018-07-09 12:00:00,0.000000,729.8167,86.54667
2018-07-09 13:00:00,0.000000,687.4237,87.81864
2018-07-09 14:00:00,0.000000,799.2034,87.90508
2018-07-09 15:00:00,0.000000,254.3333,85.78167
2018-07-09 16:00:00,0.000000,450.4000,85.58500
2018-07-09 17:00:00,0.000000,367.1667,87.09167
2018-07-09 18:00:00,0.000000,113.8167,85.08000
2018-07-09 19:00:00,0.000000,44.4833,83.10833
2018-07-09 20:00:00,0.000000,9.4068,81.29661
2018-07-09 21:00:00,0.000000,0.0000,80.38333
2018-07-09 22:00:00,0.000000,0.0000,79.99828
2018-07-09 23:00:00,0.000000,0.0000,79.21833
2018-07-10 00:00:00,0.000000,0.0000,78.29474
2018-07-10 01:00:00,0.000000,0.0000,77.77500
2018-07-10 02:00:00,0.000000,0.0000,77.61167
2018-07-10 03:00:00,0.000000,0.0000,77.07000
2018-07-10 04:00:00,0.000000,0.0000,76.38833
2018-07-10 05:00:00,0.000000,0.0000,76.10169
2018-07-10 06:00:00,0.000000,2.2833,75.99000
2018-07-10 07:00:00,0.000000,66.6167,76.27500
2018-07-10 08:00:00,0.000000,206.9153,79.13051
2018-07-10 09:00:00,0.000000,382.0500,82.07333
2018-07-10 10:00:00,0.000000,596.1500,85.43167
2018-07-10 11:00:00,0.000000,691.5088,88.49123
2018-07-10 12:00:00,0.000000,630.2667,88.86833
2018-07-10 13:00:00,0.000000,772.6667,90.92167
2018-07-10 14:00:00,0.000000,778.9167,91.42333
2018-07-10 15:00:00,0.000000,787.6667,92.81667
2018-07-10 16:00:00,0.000000,643.1864,92.58814
2018-07-10 17:00:00,0.000000,478.0500,92.29833
2018-07-10 18:00:00,0.000000,282.0690,91.72931
2018-07-10 19:00:00,0.000000,104.1379,90.94310
2018-07-10 20:00:00,0.000000,8.4000,90.10167
2018-07-10 21:00:00,0.000000,0.0000,85.29153
2018-07-10 22:00:00,0.000000,0.0000,81.86610
2018-07-10 23:00:00,0.000000,0.0000,80.20167
2018-07-11 00:00:00,0.000000,0.0000,79.00000
2018-07-11 01:00:00,0.000000,0.0000,77.76500
2018-07-11 02:00:00,0.000000,0.0000,76.89333
2018-07-11 03:00:00,0.000000,0.0000,76.87241
2018-07-11 04:00:00,0.000000,0.0000,76.89833
2018-07-11 05:00:00,0.000000,0.0000,76.65333
2018-07-11 06:00:00,0.000000,2.2712,76.66780
2018-07-11 07:00:00,0.000000,70.1525,77.37119
2018-07-11 08:00:00,0.000000,217.3833,80.45000
2018-07-11 09:00:00,0.000000,393.1000,85.02167
2018-07-11 10:00:00,0.000000,608.6207,88.74655
2018-07-11 11:00:00,0.000000,592.2500,91.06833
2018-07-11 12:00:00,0.000000,639.7288,91.48983
2018-07-11 13:00:00,0.000000,813.1000,93.10167
2018-07-11 14:00:00,0.000000,848.4833,93.26833
2018-07-11 15:00:00,0.000000,765.9500,93.76667
2018-07-11 16:00:00,0.000000,619.0678,94.72712
2018-07-11 17:00:00,0.000000,479.0000,94.82712
2018-07-11 18:00:00,0.000000,300.1724,93.96034
2018-07-11 19:00:00,0.000000,107.9833,92.84500
2018-07-11 20:00:00,0.000000,10.4167,91.14000
2018-07-11 21:00:00,0.000000,0.0000,86.54068
2018-07-11 22:00:00,0.000000,0.0000,83.75167
2018-07-11 23:00:00,0.000000,0.0000,82.30339
2018-07-12 00:00:00,0.000000,0.0000,80.74912
2018-07-12 01:00:00,0.000000,0.0000,80.00345
2018-07-12 02:00:00,0.000000,0.0000,78.78136
2018-07-12 03:00:00,0.000000,0.0000,77.95167
2018-07-12 04:00:00,0.000000,0.0000,77.13448
2018-07-12 05:00:00,0.000000,0.0000,75.64310
2018-07-12 06:00:00,0.000000,1.8000,74.84333
2018-07-12 07:00:00,0.000000,64.7167,76.50667
2018-07-12 08:00:00,0.000000,198.0833,81.47167
2018-07-12 09:00:00,0.000000,382.6441,85.51864
2018-07-12 10:00:00,0.000000,598.6271,88.38475
2018-07-12 11:00:00,0.000000,721.7627,90.12203
2018-07-12 12:00:00,0.000000,832.6441,92.28136
2018-07-12 13:00:00,0.000000,775.1833,93.10333
2018-07-12 14:00:00,0.000000,849.4333,93.24667
2018-07-12 15:00:00,0.000000,657.5593,93.89492
2018-07-12 16:00:00,0.000000,557.1000,93.15333
2018-07-12 17:00:00,0.000000,91.1525,87.55932
2018-07-12 18:00:00,0.000000,54.7797,79.21864
2018-07-12 19:00:00,0.000000,55.6667,82.34667
2018-07-12 20:00:00,0.000000,11.4561,83.73509
2018-07-12 21:00:00,0.000000,0.0000,82.77500
2018-07-12 22:00:00,0.000000,0.0000,82.21000
2018-07-12 23:00:00,0.000000,0.0000,81.33051
2018-07-13 00:00:00,0.000000,0.0000,80.37667
2018-07-13 01:00:00,0.000000,0.0000,79.67458
2018-07-13 02:00:00,0.000000,0.0000,78.92667
2018-07-13 03:00:00,0.000000,0.0000,78.36500
2018-07-13 04:00:00,0.000000,0.0000,78.40000
2018-07-13 05:00:00,0.000000,0.0000,77.70517
2018-07-13 06:00:00,0.000000,1.3500,77.08333
2018-07-13 07:00:00,0.000000,51.0333,77.40667
2018-07-13 08:00:00,0.000000,200.8333,82.02833
2018-07-13 09:00:00,0.000000,381.2500,84.90167
2018-07-13 10:00:00,0.000000,570.9831,86.53390
2018-07-13 11:00:00,0.000000,544.1833,87.83167
2018-07-13 12:00:00,0.000000,768.4333,88.96833
2018-07-13 13:00:00,0.000000,758.4833,92.22000
2018-07-13 14:00:00,0.000000,814.4000,93.38833
2018-07-13 15:00:00,0.000000,771.3390,95.05085
2018-07-13 16:00:00,0.000000,485.2586,92.90690
2018-07-13 17:00:00,0.000000,273.0169,88.77458
2018-07-13 18:00:00,0.000000,199.6949,87.91186
2018-07-13 19:00:00,0.000000,75.0667,87.47833
2018-07-13 20:00:00,0.000000,13.3000,86.83333
2018-07-13 21:00:00,0.000000,0.0000,85.35763
2018-07-13 22:00:00,0.000000,0.0000,83.95167
2018-07-13 23:00:00,0.000000,0.0000,82.88833
2018-07-14 00:00:00,0.000000,0.0000,82.06167
2018-07-14 01:00:00,0.000000,0.0000,81.16333
2018-07-14 02:00:00,0.000000,0.0000,79.95333
2018-07-14 03:00:00,0.000000,0.0000,79.54310
2018-07-14 04:00:00,0.000000,0.0000,79.54000
2018-07-14 05:00:00,0.000000,0.0000,78.99831
2018-07-14 06:00:00,0.000000,2.5424,78.45424
2018-07-14 07:00:00,0.000000,79.4333,78.26833
2018-07-14 08:00:00,0.000000,219.6667,82.17000
2018-07-14 09:00:00,0.000000,392.8167,85.23667
2018-07-14 10:00:00,0.000000,427.0517,86.78621
2018-07-14 11:00:00,0.000000,619.7500,90.01000
2018-07-14 12:00:00,0.000000,350.4500,91.04000
2018-07-14 13:00:00,0.000000,631.1186,92.65593
2018-07-14 14:00:00,0.831525,138.5932,87.70339
2018-07-14 15:00:00,0.481695,44.0339,76.48305
2018-07-14 16:00:00,0.000000,72.1525,77.19322
2018-07-14 17:00:00,0.000000,95.9833,78.45167
2018-07-14 18:00:00,0.000000,78.7333,78.39667
2018-07-14 19:00:00,0.000000,39.5000,79.10667
2018-07-14 20:00:00,0.000000,6.5439,78.80000
2018-07-14 21:00:00,0.000000,0.0000,78.35254
2018-07-14 22:00:00,0.000000,0.0000,77.57759
2018-07-14 23:00:00,0.000000,0.0000,77.53898
2018-07-15 00:00:00,0.000000,0.0000,77.35333
2018-07-15 01:00:00,0.000000,0.0000,77.15833
2018-07-15 02:00:00,0.000000,0.0000,76.91017
2018-07-15 03:00:00,0.000000,0.0000,76.30333
2018-07-15 04:00:00,0.000000,0.0000,75.98000
2018-07-15 05:00:00,0.000000,0.0000,75.76833
2018-07-15 06:00:00,0.000000,2.7333,75.57000
2018-07-15 07:00:00,0.000000,44.4167,75.83500
2018-07-15 08:00:00,0.000000,109.7458,77.24746
2018-07-15 09:00:00,0.000000,203.5333,79.66333
2018-07-15 10:00:00,0.000000,418.9667,84.44167
2018-07-15 11:00:00,0.000000,591.6271,86.24407
2018-07-15 12:00:00,0.000000,754.2833,88.73833
2018-07-15 13:00:00,0.000000,612.4667,90.65833
2018-07-15 14:00:00,0.000000,582.4333,86.41167
2018-07-15 15:00:00,0.000000,718.8246,89.55439
2018-07-15 16:00:00,0.000000,626.5667,89.36667
2018-07-15 17:00:00,0.000000,296.7414,88.78276
2018-07-15 18:00:00,0.000000,181.5741,86.62037
2018-07-15 19:00:00,0.000000,50.8814,84.55424
2018-07-15 20:00:00,0.000000,2.8333,83.22833
2018-07-15 21:00:00,0.000000,0.0000,82.04237
2018-07-15 22:00:00,0.000000,0.0000,80.81500
2018-07-15 23:00:00,0.000000,0.0000,80.63833
2018-07-16 00:00:00,0.000000,0.0000,79.59661
2018-07-16 01:00:00,0.000000,0.0000,78.56667
2018-07-16 02:00:00,0.000000,0.0000,78.23729
2018-07-16 03:00:00,0.000000,0.0000,77.44000
2018-07-16 04:00:00,0.000000,0.0000,77.19667
2018-07-16 05:00:00,0.000000,0.0000,76.77627
2018-07-16 06:00:00,0.000000,2.2333,76.75167
2018-07-16 07:00:00,0.000000,49.5424,77.38983
2018-07-16 08:00:00,0.000000,76.4833,79.08500
2018-07-16 09:00:00,0.000000,267.5833,80.37167
2018-07-16 10:00:00,0.000000,397.1333,83.84500
2018-07-16 11:00:00,0.000000,453.5000,86.04333
2018-07-16 12:00:00,0.735926,78.8519,79.72222
2018-07-16 13:00:00,0.052766,72.2340,74.90000
2018-07-16 14:00:00,0.042778,189.2037,76.32778
2018-07-16 15:00:00,0.000000,590.6102,79.84068
2018-07-16 16:00:00,0.000000,441.7500,84.61167
2018-07-16 17:00:00,0.000000,166.5500,85.50167
2018-07-16 18:00:00,0.000000,128.8000,84.16000
2018-07-16 19:00:00,0.000000,55.3167,82.62000
2018-07-16 20:00:00,0.000000,10.3390,79.81864
2018-07-16 21:00:00,0.000000,0.0000,79.30000
2018-07-16 22:00:00,0.000000,0.0000,78.81695
2018-07-16 23:00:00,0.000000,0.0000,78.47333
2018-07-17 00:00:00,0.000000,0.0000,77.95690
2018-07-17 01:00:00,0.000000,0.0000,77.83167
2018-07-17 02:00:00,0.000000,0.0000,77.99167
2018-07-17 03:00:00,0.000000,0.0000,77.74167
2018-07-17 04:00:00,0.000000,0.0000,77.07931
2018-07-17 05:00:00,0.000000,0.0000,76.38167
2018-07-17 06:00:00,0.000000,0.7500,75.97333
2018-07-17 07:00:00,0.000000,33.7966,75.95254
2018-07-17 08:00:00,0.000000,94.3667,76.75500
2018-07-17 09:00:00,0.000000,388.7667,80.58500
2018-07-17 10:00:00,0.000000,565.5085,85.17119
2018-07-17 11:00:00,0.000000,670.1695,87.07458
2018-07-17 12:00:00,0.000000,733.0833,88.46667
2018-07-17 13:00:00,0.000000,865.2000,90.17667
2018-07-17 14:00:00,0.000000,332.8644,90.69153
2018-07-17 15:00:00,0.015254,126.2542,81.76610
2018-07-17 16:00:00,0.004576,319.8644,77.61017
2018-07-17 17:00:00,0.000000,453.4138,81.46897
2018-07-17 18:00:00,0.000000,192.1833,83.51667
2018-07-17 19:00:00,0.000000,85.4333,82.44000
2018-07-17 20:00:00,0.000000,14.6441,82.22881
2018-07-17 21:00:00,0.000000,0.0000,80.90339
2018-07-17 22:00:00,0.000000,0.0000,80.09492
2018-07-17 23:00:00,0.000000,0.0000,79.16333
2018-07-18 00:00:00,0.000000,0.0000,78.36167
2018-07-18 01:00:00,0.000000,0.0000,77.70167
2018-07-18 02:00:00,0.000000,0.0000,77.15763
2018-07-18 03:00:00,0.000000,0.0000,76.63833
2018-07-18 04:00:00,0.000000,0.0000,76.12000
2018-07-18 05:00:00,0.000000,0.0000,75.79000
2018-07-18 06:00:00,0.000000,1.1186,75.58475
2018-07-18 07:00:00,0.000000,58.1333,76.35167
2018-07-18 08:00:00,0.000000,209.7288,79.77797
2018-07-18 09:00:00,0.000000,392.8167,83.88333
2018-07-18 10:00:00,0.000000,471.3390,86.49661
2018-07-18 11:00:00,0.000000,594.1500,85.03833
2018-07-18 12:00:00,0.000000,802.3390,85.30847
2018-07-18 13:00:00,0.000000,758.1379,87.37241
2018-07-18 14:00:00,0.000000,471.9000,87.86000
2018-07-18 15:00:00,0.026610,242.4915,84.45424
2018-07-18 16:00:00,0.000000,648.7966,83.70339
2018-07-18 17:00:00,0.000000,346.6500,85.78333
2018-07-18 18:00:00,0.000000,245.4237,84.56610
2018-07-18 19:00:00,0.000000,79.4310,82.64310
2018-07-18 20:00:00,0.000000,14.5862,80.44655
2018-07-18 21:00:00,0.000000,0.0000,80.03559
2018-07-18 22:00:00,0.000000,0.0000,78.97167
2018-07-18 23:00:00,0.000000,0.0000,78.25763
2018-07-19 00:00:00,0.000000,0.0000,77.87000
2018-07-19 01:00:00,0.000000,0.0000,77.27667
2018-07-19 02:00:00,0.000000,0.0000,76.63559
2018-07-19 03:00:00,0.000000,0.0000,76.25085
2018-07-19 04:00:00,0.000000,0.0000,76.09000
2018-07-19 05:00:00,0.000000,0.0000,76.11500
2018-07-19 06:00:00,0.000000,0.1695,76.06102
2018-07-19 07:00:00,0.000000,45.9444,76.27963
2018-07-19 08:00:00,0.035833,182.6500,77.95833
2018-07-19 09:00:00,0.013898,142.8136,78.06949
